sentiment,review_body,product_category
-1,A serious joke. i struggled with the buttons for a good 10 minutes and gave up after the 3rd button. i'm not sure what they were thinking.,Blouses
-1,I ordered a small  which is my usual retailer size  but this was like a tent on me. it's fine if you like things super super blousey but that wasn't what i was looking for. also it is very long  a very weird amount of long. also there is only eyelet on the front. the whole back of the shirt is just plain fabric. i like the idea of this shirt but all in all it was very disappointing.,Blouses
-1,I loved fabric  print and back detail. design  however  was a little too boxy to be flattering on me. even at great price i sent it back.,Blouses
-1,I really did. here's why i just couldn't: the lace strips make it look cheap. the fabric is soft    but the pattern is undistinguished.   the fit is very disappointing--medium looked square and boxy  the large was massive and in both sizes the v-neck was too low to wear without a camisole underneath....which defeated the purpose.,Blouses
-1,This looked like a simple  chic blouse  but the fabric felt cheap to me  like thin lining fabric. the neckline is too deep and wide as well and so not flattering.,Blouses
-1,"I wanted to love this top  but it unfortunately did not work for me. the material has a nice weight and feel to it  and while i love the pattern  the shape leaves something to be desired. the cap sleeves were a little tight on my arms  and the cut of the sleeves made my arms look big. the body of this shirt reminded me of a loose maternity top. for reference  i am 5'10"" 140 lbs and typically a size 6. i wear a small in retailer clothes  and got a small in this top. i think an xs would have been to",Blouses
-1,The top on the model in the photo is a true ivory  but the top in reality is more beige. well  i'm blonde with fair skin  so i'm not sure this is going to work. it also looks more dressy in the photo than it does in reality -- i think the ivory color on the model and the pleats only down the front make it look more dressy -- but in reality  with it really being beige  having pleats everywhere  and being a crinkly fabric  it looks more casual. i had wanted it to be more dressy to pair with skirts,Blouses
-1,Disappointed  the cut of the layer makes anyone wearing it look pregnant. even the model in the picture the way that layer hangs.,Blouses
-1,Really wanted to like this and took chances based on other reviews  even with the sale price and addtl discount. it's basically $30 blouse fabric with design and detail-work of a much more expensive blouse. the white is sheer and and fabric will wrinkle easily. if it were black  you could probably get away with it  but the white shows too many flaws and will wrinkle. sad to have to send it back.,Blouses
0,The picture of this top is misleading. it's more like a tent/ super short dress. i ordered my usual size (l) and could easily get away with a small in this top  if the arm holes were not too tight. i def. need to go down to a medium  and maybe even a petite medium since i'm 5/3. the top is 100% cotton  but there is so much fabric there is no way a little shrinkage would offset the amount of extra fabric. it looks like a tent on. plus  the picture and description make it seem like a normal top le,Blouses
0,"I got my usual xs (i'm a 32b) and the top fit fine from the chest up. my head just fits through the hole on top without having to unbutton. but then from the chest down  the shirt billows out too far. it hits me at the hip like the model (i'm 5'6"" and wear 2/26) but because of the extra fabric it really needs to be longer to balance out the trapeze look. since the top portion fits nicely i almost want to keep it then have a seamstress take it in a little at the waist so it's more a-line than tra",Blouses
0,Ok so this top is as cute in person as it is online. runs very small as theres no stretch or give in fabric. i normally wear 12 and i couldnt even halfway get this on lol. i may consider a 14-16 but the stores didnt have this yet to try on. the ladies at the counter were crushing on this top though! if you can find your fit this top is great for layering!,Blouses
0,Bought this top at my local store and tried it on as soon as i got home. yikes! it was way too billowy  i looked like i was pregnant. will be trying the next size down on in the store to see if it is billowy.,Blouses
0,The fit is a little bit odd  it is short and wide  too much fabric. the quality is not good  the buttons can easily break and the stitching was falling apart. i am returning it.,Blouses
0,The color and detailing on this shirt are pretty  but it is incredibly wide at the hips. as someone with a large chest  it was very unflattering.,Blouses
0,The color of this top is lovely. however  i felt the quality was lacking for the price. the fabric is thin and the top i tried on in the store had some loose threads already. fit was tts for me.,Blouses
0,The button detail on the sides is a unique design detail. i had fun playing with different looks that came with unbuttoning and buttoning the sides. but i decided against purchasing this top  it appeared shapeless on me. i have a curvier/athletic figure  and a straight up and down cut is not flattering on my figure.,Blouses
0,I really wanted to love this top when i got it  but not so much. it fit nicely through the bust and torso  but flared out way too much  it ended up looking like a maternity top. maybe because i am more of an hourglass shape. another thing  it was very low cut  i would not have been able to wear this without a cami underneath. the fabric didn't seem to be the best quality  it also had a funny smell too it when i took it out of the package. this shirt was not worth the price. sadly  this was a mis,Blouses
1,The green is a deep  beautiful shade. the fabric and fir is very flattering!,Blouses
1,This is an ideal top - especially for summer. so lightweight and soft! the detailing is adorable and makes this simple shirt feel very special  yet everyday! i ordered the black  and am back for the other colors! this one is an absolute win.,Blouses
1,I love this top. the quality is topnotch and it's true to size. it's not skintight but it's also not so roomy that you look pregnant! one thing that surprised me is that it's a silk material. i thought it was linen or something like that. but i love it!,Blouses
1,This is sure to become my favorite shirt! this shirt is feminine and the fit is perfect. the white lace is strategically placed  so you do not have to wear a cami on those hot summer days  but you can for the work day. i cannot wait to wear this!!,Blouses
1,Cute but classy top because of the embroidery at the bottom!,Blouses
1,The colors on my monitor are not true to the product  and that was disappointing to me. that being said  and it is important because this will not go with the pants and skirts that i intended  it is a very good quality blouse especially at the sale price. all cut edges and seams are bound. the detailing is very good. i wish it was silk instead of polyester  however. the buttons appear in the photo to be shell--in reality they are covered buttons. the print is odd and will be difficult to style.,Blouses
1,This is a really beautiful top. the colors are lovely a subtle. it is larger than i expected. i ordered a small which is my usual size and it is more of a baggy tunic. it still works because the material is so sheer  but does not fit me like the photo size down,Blouses
1,I loved this tunic. dress up or down layer it with a cropped leather jacket and booties. i bit on the long side so if you are short it might make you look stumpy but really cute with leggings or skinny jeans.,Blouses
